Epoch 1/100, Loss: 0.49114641547203064
Epoch 2/100, Loss: 0.47676175832748413
Epoch 3/100, Loss: 0.46465712785720825
Epoch 4/100, Loss: 0.4548875391483307
Epoch 5/100, Loss: 0.4472905993461609
Epoch 6/100, Loss: 0.4414229691028595
Epoch 7/100, Loss: 0.43658187985420227
Epoch 8/100, Loss: 0.43214696645736694
Epoch 9/100, Loss: 0.42778319120407104
Epoch 10/100, Loss: 0.42340075969696045
Epoch 11/100, Loss: 0.4190436601638794
Epoch 12/100, Loss: 0.4148143529891968
Epoch 13/100, Loss: 0.4107622802257538
Epoch 14/100, Loss: 0.40688249468803406
Epoch 15/100, Loss: 0.403104305267334
Epoch 16/100, Loss: 0.39930298924446106
Epoch 17/100, Loss: 0.3953782021999359
Epoch 18/100, Loss: 0.39127862453460693
Epoch 19/100, Loss: 0.3870331645011902
Epoch 20/100, Loss: 0.38272401690483093
Epoch 21/100, Loss: 0.3784530758857727
Epoch 22/100, Loss: 0.3743179142475128
Epoch 23/100, Loss: 0.3703661561012268
Epoch 24/100, Loss: 0.36660605669021606
Epoch 25/100, Loss: 0.3630003333091736
Epoch 26/100, Loss: 0.35947683453559875
Epoch 27/100, Loss: 0.3559619188308716
Epoch 28/100, Loss: 0.352400541305542
Epoch 29/100, Loss: 0.3487702012062073
Epoch 30/100, Loss: 0.3450864553451538
Epoch 31/100, Loss: 0.34137284755706787
Epoch 32/100, Loss: 0.33766287565231323
Epoch 33/100, Loss: 0.3339902460575104
Epoch 34/100, Loss: 0.3303582966327667
Epoch 35/100, Loss: 0.32676076889038086
Epoch 36/100, Loss: 0.32318973541259766
Epoch 37/100, Loss: 0.31963327527046204
Epoch 38/100, Loss: 0.3160913586616516
Epoch 39/100, Loss: 0.3125724196434021
Epoch 40/100, Loss: 0.3090786039829254
Epoch 41/100, Loss: 0.3056156635284424
Epoch 42/100, Loss: 0.3021788001060486
Epoch 43/100, Loss: 0.2987614870071411
Epoch 44/100, Loss: 0.2953537702560425
Epoch 45/100, Loss: 0.29194462299346924
Epoch 46/100, Loss: 0.2885301113128662
Epoch 47/100, Loss: 0.28511756658554077
Epoch 48/100, Loss: 0.2817177176475525
Epoch 49/100, Loss: 0.27834081649780273
Epoch 50/100, Loss: 0.27499502897262573
Epoch 51/100, Loss: 0.27167829871177673
Epoch 52/100, Loss: 0.268385648727417
Epoch 53/100, Loss: 0.265112042427063
Epoch 54/100, Loss: 0.2618538439273834
Epoch 55/100, Loss: 0.25860947370529175
Epoch 56/100, Loss: 0.25537535548210144
Epoch 57/100, Loss: 0.2521536946296692
Epoch 58/100, Loss: 0.24895142018795013
Epoch 59/100, Loss: 0.24576616287231445
Epoch 60/100, Loss: 0.24259617924690247
Epoch 61/100, Loss: 0.23944170773029327
Epoch 62/100, Loss: 0.23630627989768982
Epoch 63/100, Loss: 0.23318950831890106
Epoch 64/100, Loss: 0.23009386658668518
Epoch 65/100, Loss: 0.2270188331604004
Epoch 66/100, Loss: 0.22396565973758698
Epoch 67/100, Loss: 0.22093316912651062
Epoch 68/100, Loss: 0.21791763603687286
Epoch 69/100, Loss: 0.21491824090480804
Epoch 70/100, Loss: 0.2119365930557251
Epoch 71/100, Loss: 0.20897583663463593
Epoch 72/100, Loss: 0.20603719353675842
Epoch 73/100, Loss: 0.203119158744812
Epoch 74/100, Loss: 0.20022135972976685
Epoch 75/100, Loss: 0.19734333455562592
Epoch 76/100, Loss: 0.19448447227478027
Epoch 77/100, Loss: 0.19164694845676422
Epoch 78/100, Loss: 0.1888338327407837
Epoch 79/100, Loss: 0.18604496121406555
Epoch 80/100, Loss: 0.18328067660331726
Epoch 81/100, Loss: 0.1805402636528015
Epoch 82/100, Loss: 0.1778244972229004
Epoch 83/100, Loss: 0.17513257265090942
Epoch 84/100, Loss: 0.17246335744857788
Epoch 85/100, Loss: 0.16981783509254456
Epoch 86/100, Loss: 0.16719850897789001
Epoch 87/100, Loss: 0.16460482776165009
Epoch 88/100, Loss: 0.1620354801416397
Epoch 89/100, Loss: 0.1594913899898529
Epoch 90/100, Loss: 0.15697167813777924
Epoch 91/100, Loss: 0.15447989106178284
Epoch 92/100, Loss: 0.15201672911643982
Epoch 93/100, Loss: 0.1495811641216278
Epoch 94/100, Loss: 0.14717301726341248
Epoch 95/100, Loss: 0.14479202032089233
Epoch 96/100, Loss: 0.1424398422241211
Epoch 97/100, Loss: 0.14011506736278534
Epoch 98/100, Loss: 0.13781701028347015
Epoch 99/100, Loss: 0.1355469524860382
Epoch 100/100, Loss: 0.13330528140068054
WARNING:absl:You are saving your model as an HDF5 file via `model.save()` or `keras.saving.save_model(model)`. This file format is considered legacy. We recommend using instead the native Keras format, e.g. `model.save('my_model.keras')` or `keras.saving.save_model(model, 'my_model.keras')`.
